h3_index,city,lat,lon,dist_cafe,dist_gym,dist_shop,dist_transit
89390cb3567ffff,Madrid,40.51767393215103,-3.807891219207173,1417.2,11705.5,11617.6,2356.4
89390cb196bffff,Madrid,40.4310736941048,-3.690392588012938,136.2,150.6,156.7,212.9
89392b49a23ffff,Madrid,40.53712274643784,-3.852353846220824,19801.8,9709.5,9580.9,8516.9
89390cb13a3ffff,Madrid,40.43666999310359,-3.770595979363697,2016.9,1661.3,1621.7,1960.1
89390cb196fffff,Madrid,40.43165484685969,-3.686395747430933,169.7,469.3,112.0,93.6
89390cb33d3ffff,Madrid,40.49004160842419,-3.81951176573,11350.4,1414.2,1285.6,283.2
89392b49907ffff,Madrid,40.564606481145,-3.821986837007137,36569.7,26477.4,26348.8,37936.1
89390cb09d7ffff,Madrid,40.49358119871411,-3.65650141234718,52.4,79.8,28.4,42.6
89390cb1867ffff,Madrid,40.43065224071249,-3.713082295523057,165.2,198.8,76.0,60.7
89390cb2187ffff,Madrid,40.56339479735883,-3.7510313466659166,8620.2,3442.9,5836.2,754.0
89392b48863ffff,Madrid,40.59895064727957,-3.803760119247656,36591.2,30267.1,26370.3,37521.1
89390cb726bffff,Madrid,40.499539202226686,-3.6352089272963832,1489.7,866.2,2001.4,163.7
89390ca2bc3ffff,Madrid,40.40343290974639,-3.563325337231633,106.4,210.9,120.7,183.5
89390cb0453ffff,Madrid,40.50757723151343,-3.778314237576236,1432.0,4630.4,9483.5,2070.3
89390cb5c5bffff,Madrid,40.47659705047454,-3.5548420822293005,74.9,13729.0,1170.3,39.6
89390cb1117ffff,Madrid,40.45450569308996,-3.766846586713946,319.7,271.3,602.4,204.0
89390cb523bffff,Madrid,40.45244220369258,-3.602585092889913,575.5,375.7,989.7,258.9
89392b48ac3ffff,Madrid,40.58682912668741,-3.827683614448489,36794.7,34089.6,26573.8,38161.1
89390ca00d3ffff,Madrid,40.37635578580088,-3.630981894612788,319.6,118.5,747.9,123.0
89390ca308bffff,Madrid,40.38679037588528,-3.697802819581141,181.7,461.8,261.3,34.5
89390ca0677ffff,Madrid,40.36350483032934,-3.640151047246092,1413.0,1494.5,1858.9,784.9
89390cb42a3ffff,Madrid,40.50800161037721,-3.55654075423681,2348.3,2348.3,12022.5,3224.0
89390ca2e83ffff,Madrid,40.423516175818094,-3.603565066667271,401.9,372.0,880.4,55.1
89390ca2e8bffff,Madrid,40.42044997348613,-3.604861216394488,1310.1,970.4,1850.8,886.1
89390cba9cfffff,Madrid,40.39397336347357,-3.74728026257726,235.7,383.4,394.3,145.8
89392b48a33ffff,Madrid,40.5866750620867,-3.8089320008889103,36598.4,33893.3,26377.5,37528.3
89390cb353bffff,Madrid,40.523229833998485,-3.809312904928072,1417.2,11705.5,11617.6,2630.9
89390cb2c97ffff,Madrid,40.56994511255201,-3.725703244615564,3258.6,3410.6,5646.2,1102.5
89390ca3443ffff,Madrid,40.39250193701408,-3.7178961185966575,328.9,32.9,550.8,254.0
89390ca3057ffff,Madrid,40.3781657578466,-3.697686167044996,376.0,594.1,813.0,71.1
89390cb2277ffff,Madrid,40.52424404440041,-3.782571575040499,2309.5,5627.6,7188.2,2358.9
89390cb1c47ffff,Madrid,40.4493797351026,-3.742724574624445,939.7,2538.3,2200.5,363.9
89390ca1c8fffff,Madrid,40.339211962699,-3.609195422377349,2439.9,2532.2,2831.9,2740.0
89390cb01c3ffff,Madrid,40.49980262445452,-3.732745308723789,1191.0,1739.5,1788.6,1156.7
89390cb21c7ffff,Madrid,40.55667750051759,-3.757624978459124,1606.2,7685.7,6105.5,993.0
89390cb0a33ffff,Madrid,40.464819530292175,-3.676156494930816,272.0,339.4,187.7,133.1
89390cb1d47ffff,Madrid,40.453455604329214,-3.714731446366108,344.0,162.9,437.8,114.4
89390ca1113ffff,Madrid,40.33208017723031,-3.638418631953185,5180.2,3892.5,5534.6,6008.8
89392b49937ffff,Madrid,40.56577334902983,-3.813971576368457,2536.8,5854.9,12737.2,2562.5
89390ca3663ffff,Madrid,40.369695384172445,-3.716247309243772,646.5,483.7,665.8,74.3
89390ca250bffff,Madrid,40.44723752579981,-3.638549288460518,583.3,1586.9,401.5,225.5
89392b48a63ffff,Madrid,40.57746761114966,-3.812809923497921,36563.6,33858.5,26342.7,37930.0
89390cb0e67ffff,Madrid,40.47360783812261,-3.6949715008890167,113.8,222.8,390.3,72.0
89390cb5473ffff,Madrid,40.48767629445227,-3.617701185956095,552.1,581.5,2409.5,636.2
89390ca301bffff,Madrid,40.38123478856097,-3.696393603642926,137.1,267.7,817.9,138.1
89390cb1d0fffff,Madrid,40.457105596297765,-3.709439226652805,22.7,176.1,103.8,32.9
89390cb2c63ffff,Madrid,40.550794107062586,-3.7187489185061104,2085.0,2389.8,4625.4,585.1
89390ca2a8bffff,Madrid,40.40303374501181,-3.5859820358784438,1571.6,1278.5,2248.1,304.1
89390cbaed7ffff,Madrid,40.39133819002927,-3.804655641160161,2275.4,2806.4,2771.6,2827.3
89390cb1c5bffff,Madrid,40.44821377108627,-3.750723289179666,1580.7,340.9,3869.7,959.8
89390ca066bffff,Madrid,40.35736899677533,-3.642738895116607,1871.7,1789.7,2317.6,1209.7
